time,open,High,Low,Close,volume,ADX,DI+,DI-
2013-08-27,488.23,489.89,485.57,485.57,27831794,17.772813183021203,16.533240786520974,31.692474009085903
2013-08-28,481.91,482.48,470.29,473.3,69272775,20.013745456887534,14.155596877742774,41.51577333636686
2013-08-29,473.52,477.09,468.55,468.55,39338020,22.20614872962821,13.027923754436774,39.831618848335886
2013-08-30,469.64,472.7,462.13,472.7,35495698,24.624821236213787,11.777362716275409,41.83843345086986
2013-09-03,473.83,477.08,470.26,472.17,29193619,26.045978743140058,15.056728900476541,39.22231739515405
2013-09-04,472.77,476.42,469.3,471.45,69278295,27.433639677613634,14.067751044216084,37.5316798968046
2013-09-05,473.62,477.77,470.72,477.57,47477390,28.458936864206812,14.400345122757749,35.07500607330345
2013-09-06,479.18,480.55,475.16,480.03,45416779,28.872266456757732,16.301456128794893,33.28136728879995
2013-09-09,478.98,478.98,469.39,470.16,54930194,29.755168383896336,14.703066347167223,35.335355508193686
2013-09-10,470.16,475.62,470.16,474.53,28763775,30.575005887667896,13.947308937450511,33.51907065170614
2013-09-11,474.53,478.95,473.68,476.4,32168550,30.66641103793022,16.44474710611106,31.819012228744963
2013-09-12,474.97,477.25,474.96,475.59,32565556,30.751287248888097,16.063487094646188,31.08131058524422
2013-09-13,475.11,478.0,474.54,476.42,29065440,30.669528784124175,16.267528378731004,29.951419035913183
2013-09-16,478.32,478.7,473.97,475.57,38474360,30.43763913927604,16.192934784892294,28.429883025022374
2013-09-17,476.21,480.16,475.82,477.73,39152080,29.89043946948806,16.98013955674693,26.996668395697437
2013-09-18,478.65,479.43,473.52,474.26,39014181,29.70366520467615,15.870728474196765,27.775498713058727
2013-09-19,478.14,478.99,475.69,476.09,35571556,29.53023195877937,15.024643902977363,26.294758811468753
2013-09-20,476.12,477.19,474.7,477.19,84263650,29.515986046859602,14.583873236287218,26.689753763424967
2013-09-23,476.79,479.09,475.06,479.09,46167730,28.992962853091303,16.1678888165773,25.391421372796447
2013-09-24,478.88,483.78,478.85,482.82,82180107,27.39070032503144,20.923647084123402,23.862173515069752
2013-09-25,482.46,488.98,482.41,486.22,80657028,25.97417555850544,25.55589609853417,21.963720270820378
2013-09-26,485.59,487.88,482.61,485.11,49451340,24.65883113244558,23.912490911912666,20.551314629812925
2013-09-27,484.68,487.82,483.85,486.61,47133220,23.437439879675715,22.72683914572962,19.532319888613365
2013-09-30,487.12,492.65,486.7,492.63,68463830,23.18309159675392,27.027565626895466,18.064760584939556
2013-10-01,491.92,496.59,491.34,492.24,102077920,23.54662043298115,30.18295731716959,16.87772743157971
2013-10-02,492.58,496.86,492.58,494.39,77327740,23.923499314564715,28.756163743771264,15.888318275190153
2013-10-03,495.0,495.0,491.59,492.3,62671326,24.00283034092921,27.475867541974235,16.47351928944463
2013-10-04,492.05,497.73,490.43,497.5,59715741,24.50661451735605,28.399438099394832,14.940019124315441
2013-10-07,497.84,502.16,496.92,500.47,72098888,25.580595694828414,32.1682470062421,13.93710635101667
2013-10-08,500.53,502.64,497.58,502.22,72184855,26.639012312268928,30.688142849728518,13.027649716882292
2013-10-09,501.28,502.52,498.98,500.67,64403480,27.621827742749407,29.25009262122686,12.417172414820076
2013-10-10,500.34,501.64,494.81,494.81,64509197,27.2823387854716,26.654829027317533,16.73257195785928
2013-10-11,496.71,498.58,494.53,494.53,53528970,26.888571240674974,25.225559795926085,16.20606388229224
2013-10-14,494.31,495.67,492.81,493.62,36398040,26.036858230659988,24.23719734943597,17.927433584452
2013-10-15,493.03,495.72,492.37,495.72,50449010,25.12147330794644,23.095712266062918,17.701695515816716
2013-10-16,495.47,500.6,495.02,498.96,69932650,25.221887605358372,28.109342549124772,16.322726170681985
2013-10-17,502.02,502.64,498.83,499.59,64095818,25.653999354074536,29.487308826574626,15.438390337544536
2013-10-18,499.89,501.39,497.91,500.83,69746740,25.770138142552526,27.995374321495426,15.994862938521553
2013-10-21,501.72,503.72,500.25,501.57,112133650,26.27576305533228,30.012913493978093,15.170624267568392
2013-10-22,500.94,502.95,498.74,500.57,74970860,26.26383261557956,28.119614800538066,16.476208600825235
2013-10-23,501.41,504.81,501.41,504.05,82225493,26.585574629247194,29.128104797649545,15.421105427755158
2013-10-24,503.47,505.74,500.64,501.17,86402224,27.04673108801493,28.293737230467908,14.239879516739434
2013-10-25,502.8,503.17,499.53,500.75,74173428,27.09006627636487,26.720555712454647,15.143665289617234
2013-10-28,501.27,501.86,496.46,496.46,70118605,26.14876589329386,24.540585776319634,18.54638616768644
2013-10-29,494.66,497.74,494.01,497.08,57866550,24.58568538240181,23.13647319219597,21.243388613880185
2013-10-30,497.97,500.97,497.95,499.07,44271658,23.86816281238861,26.753063325325915,19.96070836049875
2013-10-31,500.04,500.59,497.41,497.41,43344990,23.046797079247916,25.40274114978944,19.81031855719099
2013-11-01,499.27,499.27,496.93,497.08,42529106,22.14104400614182,24.425761721144525,19.837336505970093
2013-11-04,497.33,498.49,495.68,497.07,65125290,20.924697630985964,23.268457400084166,21.005106584664773
2013-11-05,497.46,500.28,495.84,499.79,75859798,20.258787817723483,24.54029245048498,19.43795380351128
2013-11-06,500.44,502.52,499.58,502.52,81849902,20.173313758219262,27.149419978811416,18.456038606105885
2013-11-07,502.09,503.3,499.29,499.86,106540196,20.27129486228792,26.61767846864251,17.181190577054622
2013-11-08,498.8,500.47,498.33,498.61,72791380,20.023067115553676,25.60134372676152,18.23803502329258
2013-11-11,498.03,501.08,497.41,501.08,93276990,19.469205110791307,23.914898962038066,18.68795519118337
2013-11-12,501.36,501.36,496.79,497.65,121979549,18.735490619670827,21.973793140964307,18.272280368600747
